Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 226263000 , Gap_End_1 : 1452716606 , Gap_End_2 : 1452716659, GeoHash : gbsg1z, Lon1 : 48.38108 , Lat1 : -4.48569, Lon2 : 48.37986 , Lat2 : -4.4858484 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 228762000 , Gap_End_1 : 1452716600 , Gap_End_2 : 1452716672, GeoHash : gbsg1m, Lon1 : 48.371166 , Lat1 : -4.512998, Lon2 : 48.369633 , Lat2 : -4.514995 }
Suspicious RendezVous : { Vessel_1 : 227318010, Vessel_2 : 228037600 , Gap_End_1 : 1452716586 , Gap_End_2 : 1452718306, GeoHash : gbscte, Lon1 : 48.09807 , Lat1 : -4.3243985, Lon2 : 48.09804 , Lat2 : -4.324045 }
Suspicious RendezVous : { Vessel_1 : 228037600, Vessel_2 : 227318010 , Gap_End_1 : 1452718306 , Gap_End_2 : 1452718746, GeoHash : gbscte, Lon1 : 48.09804 , Lat1 : -4.324045, Lon2 : 48.09807 , Lat2 : -4.324365 }
Suspicious RendezVous : { Vessel_1 : 226263000, Vessel_2 : 228017700 , Gap_End_1 : 1452716659 , Gap_End_2 : 1452801695, GeoHash : gbsg1z, Lon1 : 48.37986 , Lat1 : -4.4858484, Lon2 : 48.38109 , Lat2 : -4.485677 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 226263000 , Gap_End_1 : 1452801695 , Gap_End_2 : 1452801843, GeoHash : gbsg1z, Lon1 : 48.38109 , Lat1 : -4.485677, Lon2 : 48.37984 , Lat2 : -4.4858017 }
Suspicious RendezVous : { Vessel_1 : 227318010, Vessel_2 : 228037600 , Gap_End_1 : 1452718746 , Gap_End_2 : 1452801910, GeoHash : gbscte, Lon1 : 48.09807 , Lat1 : -4.324365, Lon2 : 48.09804 , Lat2 : -4.3242116 }
Suspicious RendezVous : { Vessel_1 : 227318010, Vessel_2 : 228037600 , Gap_End_1 : 1452720906 , Gap_End_2 : 1452801910, GeoHash : gbscte, Lon1 : 48.09805 , Lat1 : -4.324365, Lon2 : 48.09804 , Lat2 : -4.3242116 }
Suspicious RendezVous : { Vessel_1 : 227318010, Vessel_2 : 228037600 , Gap_End_1 : 1452723417 , Gap_End_2 : 1452801910, GeoHash : gbscte, Lon1 : 48.09807 , Lat1 : -4.324365, Lon2 : 48.09804 , Lat2 : -4.3242116 }
Suspicious RendezVous : { Vessel_1 : 227318010, Vessel_2 : 228037600 , Gap_End_1 : 1452724507 , Gap_End_2 : 1452801910, GeoHash : gbscte, Lon1 : 48.09807 , Lat1 : -4.324382, Lon2 : 48.09804 , Lat2 : -4.3242116 }
Suspicious RendezVous : { Vessel_1 : 227318010, Vessel_2 : 228037600 , Gap_End_1 : 1452726297 , Gap_End_2 : 1452801910, GeoHash : gbscte, Lon1 : 48.098083 , Lat1 : -4.324382, Lon2 : 48.09804 , Lat2 : -4.3242116 }
Suspicious RendezVous : { Vessel_1 : 227318010, Vessel_2 : 228037600 , Gap_End_1 : 1452801856 , Gap_End_2 : 1452801910, GeoHash : gbscte, Lon1 : 48.098083 , Lat1 : -4.3244815, Lon2 : 48.09804 , Lat2 : -4.3242116 }
Suspicious RendezVous : { Vessel_1 : 228236600, Vessel_2 : 228228800 , Gap_End_1 : 1452716961 , Gap_End_2 : 1452801955, GeoHash : gbscts, Lon1 : 48.0987 , Lat1 : -4.32694, Lon2 : 48.098232 , Lat2 : -4.32598 }
Suspicious RendezVous : { Vessel_1 : 228236600, Vessel_2 : 228228800 , Gap_End_1 : 1452721460 , Gap_End_2 : 1452801955, GeoHash : gbscts, Lon1 : 48.098675 , Lat1 : -4.3268185, Lon2 : 48.098232 , Lat2 : -4.32598 }
