Suspicious RendezVous : { Vessel_1 : 227002630, Vessel_2 : 227704000 , Gap_End_1 : 1443803697 , Gap_End_2 : 1443874283, GeoHash : gbs9h, Lon1 : 48.017414 , Lat1 : -4.72009, Lon2 : 48.006996 , Lat2 : -4.7322965 }
Suspicious RendezVous : { Vessel_1 : 227002630, Vessel_2 : 227704000 , Gap_End_1 : 1443859844 , Gap_End_2 : 1443874283, GeoHash : gbs9h, Lon1 : 48.023174 , Lat1 : -4.718225, Lon2 : 48.006996 , Lat2 : -4.7322965 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228186700 , Gap_End_1 : 1443870775 , Gap_End_2 : 1443877203, GeoHash : gbsg1, Lon1 : 48.379684 , Lat1 : -4.484997, Lon2 : 48.370834 , Lat2 : -4.5124984 }
Suspicious RendezVous : { Vessel_1 : 228336000, Vessel_2 : 228109000 , Gap_End_1 : 1443854945 , Gap_End_2 : 1443885942, GeoHash : gbs6h, Lon1 : 48.20097 , Lat1 : -5.0565715, Lon2 : 48.179775 , Lat2 : -5.0606985 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 227704000 , Gap_End_1 : 1443859269 , Gap_End_2 : 1443889912, GeoHash : gbse4, Lon1 : 48.38257 , Lat1 : -4.8177586, Lon2 : 48.350746 , Lat2 : -4.7970934 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 227704000 , Gap_End_1 : 1443873924 , Gap_End_2 : 1443889912, GeoHash : gbse4, Lon1 : 48.35968 , Lat1 : -4.7916036, Lon2 : 48.350746 , Lat2 : -4.7970934 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 227005550 , Gap_End_1 : 1443877203 , Gap_End_2 : 1443890263, GeoHash : gbsg1, Lon1 : 48.370834 , Lat1 : -4.5124984, Lon2 : 48.380714 , Lat2 : -4.4872584 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 227005550 , Gap_End_1 : 1443880559 , Gap_End_2 : 1443890263, GeoHash : gbsg1, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.380714 , Lat2 : -4.4872584 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 227005550 , Gap_End_1 : 1443882538 , Gap_End_2 : 1443890263, GeoHash : gbsg1, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.380714 , Lat2 : -4.4872584 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 227005550 , Gap_End_1 : 1443885406 , Gap_End_2 : 1443890263, GeoHash : gbsg1, Lon1 : 48.370834 , Lat1 : -4.5124984, Lon2 : 48.380714 , Lat2 : -4.4872584 }
