Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227148000 , Gap_End_1 : 1446608014 , Gap_End_2 : 1446716335, GeoHash : gbsg1x, Lon1 : 48.38244 , Lat1 : -4.4966764, Lon2 : 48.380272 , Lat2 : -4.498275 }
Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227148000 , Gap_End_1 : 1446611615 , Gap_End_2 : 1446716335, GeoHash : gbsg1x, Lon1 : 48.382454 , Lat1 : -4.4966316, Lon2 : 48.380272 , Lat2 : -4.498275 }
Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227148000 , Gap_End_1 : 1446615217 , Gap_End_2 : 1446716335, GeoHash : gbsg1x, Lon1 : 48.38249 , Lat1 : -4.496683, Lon2 : 48.380272 , Lat2 : -4.498275 }
Suspicious RendezVous : { Vessel_1 : 227148000, Vessel_2 : 227592820 , Gap_End_1 : 1446716335 , Gap_End_2 : 1446716929, GeoHash : gbsg1x, Lon1 : 48.380272 , Lat1 : -4.498275, Lon2 : 48.38248 , Lat2 : -4.4967384 }
Suspicious RendezVous : { Vessel_1 : 227002330, Vessel_2 : 227730220 , Gap_End_1 : 1446601024 , Gap_End_2 : 1446719874, GeoHash : gbsg1z, Lon1 : 48.38143 , Lat1 : -4.4858384, Lon2 : 48.380554 , Lat2 : -4.486678 }
Suspicious RendezVous : { Vessel_1 : 227002330, Vessel_2 : 227730220 , Gap_End_1 : 1446716077 , Gap_End_2 : 1446719874, GeoHash : gbsg1z, Lon1 : 48.380688 , Lat1 : -4.4859333, Lon2 : 48.380554 , Lat2 : -4.486678 }
Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227574020 , Gap_End_1 : 1446716929 , Gap_End_2 : 1446722616, GeoHash : gbsg1x, Lon1 : 48.38248 , Lat1 : -4.4967384, Lon2 : 48.378826 , Lat2 : -4.49503 }
Suspicious RendezVous : { Vessel_1 : 227730220, Vessel_2 : 227002330 , Gap_End_1 : 1446719874 , Gap_End_2 : 1446801039, GeoHash : gbsg1z, Lon1 : 48.380554 , Lat1 : -4.486678, Lon2 : 48.380707 , Lat2 : -4.48591 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227148000 , Gap_End_1 : 1446722616 , Gap_End_2 : 1446801835, GeoHash : gbsg1x, Lon1 : 48.378826 , Lat1 : -4.49503, Lon2 : 48.380287 , Lat2 : -4.49828 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 227008170 , Gap_End_1 : 1446716008 , Gap_End_2 : 1446802881, GeoHash : gbs7r5, Lon1 : 48.40248 , Lat1 : -4.95558, Lon2 : 48.402584 , Lat2 : -4.955515 }
Suspicious RendezVous : { Vessel_1 : 226263000, Vessel_2 : 228017700 , Gap_End_1 : 1446802725 , Gap_End_2 : 1446893315, GeoHash : gbs7tp, Lon1 : 48.46921 , Lat1 : -5.04889, Lon2 : 48.467857 , Lat2 : -5.045275 }
Suspicious RendezVous : { Vessel_1 : 227002330, Vessel_2 : 227730220 , Gap_End_1 : 1446801039 , Gap_End_2 : 1446894097, GeoHash : gbsg1z, Lon1 : 48.380707 , Lat1 : -4.48591, Lon2 : 48.380665 , Lat2 : -4.487285 }
Suspicious RendezVous : { Vessel_1 : 227002330, Vessel_2 : 227730220 , Gap_End_1 : 1446893380 , Gap_End_2 : 1446894097, GeoHash : gbsg1z, Lon1 : 48.381454 , Lat1 : -4.4858766, Lon2 : 48.380665 , Lat2 : -4.487285 }
Suspicious RendezVous : { Vessel_1 : 227635210, Vessel_2 : 228817100 , Gap_End_1 : 1446722490 , Gap_End_2 : 1446895053, GeoHash : gbsg1v, Lon1 : 48.3703 , Lat1 : -4.489643, Lon2 : 48.371685 , Lat2 : -4.490013 }
Suspicious RendezVous : { Vessel_1 : 227730220, Vessel_2 : 226263000 , Gap_End_1 : 1446894097 , Gap_End_2 : 1446895463, GeoHash : gbsg1z, Lon1 : 48.380665 , Lat1 : -4.487285, Lon2 : 48.379807 , Lat2 : -4.485767 }
Suspicious RendezVous : { Vessel_1 : 227008170, Vessel_2 : 228017700 , Gap_End_1 : 1446802881 , Gap_End_2 : 1446974780, GeoHash : gbs7r5, Lon1 : 48.402584 , Lat1 : -4.955515, Lon2 : 48.40236 , Lat2 : -4.9563084 }
Suspicious RendezVous : { Vessel_1 : 226263000, Vessel_2 : 227002330 , Gap_End_1 : 1446895463 , Gap_End_2 : 1446974923, GeoHash : gbsg1z, Lon1 : 48.379807 , Lat1 : -4.485767, Lon2 : 48.381435 , Lat2 : -4.4858932 }
Suspicious RendezVous : { Vessel_1 : 227148000, Vessel_2 : 227592820 , Gap_End_1 : 1446801835 , Gap_End_2 : 1446975206, GeoHash : gbsg1x, Lon1 : 48.380287 , Lat1 : -4.49828, Lon2 : 48.383667 , Lat2 : -4.495435 }
Suspicious RendezVous : { Vessel_1 : 227148000, Vessel_2 : 227592820 , Gap_End_1 : 1446893454 , Gap_End_2 : 1446975206, GeoHash : gbsg1x, Lon1 : 48.380302 , Lat1 : -4.498288, Lon2 : 48.383667 , Lat2 : -4.495435 }
Suspicious RendezVous : { Vessel_1 : 227148000, Vessel_2 : 227592820 , Gap_End_1 : 1446974816 , Gap_End_2 : 1446975206, GeoHash : gbsg1x, Lon1 : 48.3803 , Lat1 : -4.498325, Lon2 : 48.383667 , Lat2 : -4.495435 }
Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227148000 , Gap_End_1 : 1446975206 , Gap_End_2 : 1447082096, GeoHash : gbsg1x, Lon1 : 48.383667 , Lat1 : -4.495435, Lon2 : 48.38029 , Lat2 : -4.4982567 }
Suspicious RendezVous : { Vessel_1 : 215901000, Vessel_2 : 244329000 , Gap_End_1 : 1446974696 , Gap_End_2 : 1447082104, GeoHash : gbsg4r, Lon1 : 48.382515 , Lat1 : -4.471415, Lon2 : 48.38073 , Lat2 : -4.470072 }
Suspicious RendezVous : { Vessel_1 : 228817100, Vessel_2 : 227635210 , Gap_End_1 : 1446895053 , Gap_End_2 : 1447082212, GeoHash : gbsg1v, Lon1 : 48.371685 , Lat1 : -4.490013, Lon2 : 48.370926 , Lat2 : -4.48957 }
Suspicious RendezVous : { Vessel_1 : 227002330, Vessel_2 : 226263000 , Gap_End_1 : 1446974923 , Gap_End_2 : 1447082301, GeoHash : gbsg1z, Lon1 : 48.381435 , Lat1 : -4.4858932, Lon2 : 48.379803 , Lat2 : -4.485737 }
Suspicious RendezVous : { Vessel_1 : 227002330, Vessel_2 : 226263000 , Gap_End_1 : 1447082046 , Gap_End_2 : 1447082301, GeoHash : gbsg1z, Lon1 : 48.380672 , Lat1 : -4.4859533, Lon2 : 48.379803 , Lat2 : -4.485737 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227612860 , Gap_End_1 : 1446720922 , Gap_End_2 : 1447083190, GeoHash : gbsfc2, Lon1 : 48.29639 , Lat1 : -4.5125732, Lon2 : 48.29618 , Lat2 : -4.512245 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227612860 , Gap_End_1 : 1447082794 , Gap_End_2 : 1447083190, GeoHash : gbsfc2, Lon1 : 48.2966 , Lat1 : -4.5124016, Lon2 : 48.29618 , Lat2 : -4.512245 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 227705102 , Gap_End_1 : 1447083190 , Gap_End_2 : 1447083438, GeoHash : gbsfc2, Lon1 : 48.29618 , Lat1 : -4.512245, Lon2 : 48.29661 , Lat2 : -4.5064435 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227592820 , Gap_End_1 : 1447083438 , Gap_End_2 : 1447083534, GeoHash : gbsfc2, Lon1 : 48.29661 , Lat1 : -4.5064435, Lon2 : 48.29642 , Lat2 : -4.512535 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227635210 , Gap_End_1 : 1446719451 , Gap_End_2 : 1447083612, GeoHash : gbsfet, Lon1 : 48.2842 , Lat1 : -4.4158683, Lon2 : 48.284203 , Lat2 : -4.416187 }
Suspicious RendezVous : { Vessel_1 : 226263000, Vessel_2 : 227002330 , Gap_End_1 : 1447082301 , Gap_End_2 : 1447139287, GeoHash : gbsg1z, Lon1 : 48.379803 , Lat1 : -4.485737, Lon2 : 48.38067 , Lat2 : -4.4859767 }
